Country,ISO3,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Bonaire, Sint Eustatius and Saba",BES,74.2827,73.9856,73.3925,73.6815,74.6735,75.502,75.6076,74.771,75.8261,75.7627,76.088,75.5183,75.8828,75.7147,75.538,75.868,76.0728,76.1089,76.5511,76.5394,76.7429,76.3668,76.1875,76.1863,76.9465,77.7542,77.3659,77.6048,77.1027,77.2373,77.213,77.8843,78.1545,77.4355,77.6089
Bosnia and Herzegovina,BIH,71.5093,71.8134,51.9671,50.8941,66.6025,70.1882,73.4537,73.8955,74.4725,74.9464,75.292,75.5725,75.9938,76.4487,76.4891,76.4243,76.0275,76.1618,76.3005,76.7013,76.827,76.9632,77.0365,77.1292,77.089,77.0733,77.1241,77.3855,77.9425,77.3939,76.0395,74.5673,76.7772,77.8504,78.0444
Botswana,BWA,60.104,58.9109,58.1903,57.3159,55.9696,54.7127,54.2842,53.594,52.9685,52.4993,52.2631,52.2104,52.3733,52.8508,53.5729,54.3862,55.1119,56.7351,57.6607,58.2975,59.1373,59.7149,60.3844,61.2167,62.1675,63.215,64.3199,65.4203,66.3709,67.1668,67.6426,63.3025,68.7487,69.1631,69.2929
Brazil,BRA,65.8624,66.203,66.5393,66.8923,67.2934,67.7006,68.1084,68.505,68.8482,69.2111,69.5842,69.98,70.3958,70.8841,71.3611,71.8319,72.2963,72.7297,73.1109,73.4569,73.779,74.0473,74.3346,74.6093,74.8225,75.1064,75.0805,75.3835,75.6335,75.8093,74.5058,73.0377,74.8719,75.8482,76.023
British Virgin Islands,VGB,72.392,72.7502,73.109,73.4314,73.7938,74.0892,74.3408,74.4693,74.5687,74.6516,74.753,74.8308,74.9708,75.1831,75.4043,75.5694,75.7453,75.8932,76.0696,76.205,76.2892,76.363,76.4335,76.4721,76.5271,76.5582,76.6242,75.6699,76.7281,76.8452,76.8941,75.297,77.177,77.2758,77.4315
Brunei Darussalam,BRN,71.6293,71.8583,72.0903,72.3327,72.5706,72.8379,73.0794,73.3262,73.584,73.806,74.0169,74.2089,74.3652,74.5091,74.6033,74.6831,74.7534,74.793,74.8138,74.8144,74.8195,74.8355,74.8428,74.8544,74.862,74.8802,74.9054,74.9429,74.9915,75.049,75.1138,74.8692,72.9171,75.3266,75.5007
Bulgaria,BGR,71.3213,71.1938,71.178,71.1853,70.8608,70.962,70.8357,70.3137,70.8733,71.5607,71.5746,71.8788,72.128,72.3727,72.5754,72.5591,72.6899,73.008,73.3385,73.6808,73.814,74.1693,74.3373,74.8277,74.4664,74.6208,74.8271,74.7977,74.9325,75.0874,73.5992,71.4137,74.0342,75.6363,75.7954
Burkina Faso,BFA,49.3145,49.3296,49.378,49.4119,49.4695,49.5545,49.6934,49.5597,50.1629,50.4632,50.8081,51.1884,51.4475,51.9586,52.5999,53.271,53.7837,54.3768,55.1985,55.7909,56.343,57.0011,57.4574,57.9033,58.3315,58.7777,59.1732,59.5775,59.9719,60.1842,60.4536,60.0463,60.7,61.092,61.2925
Burundi,BDI,45.184,44.66,44.469,37.2214,44.5152,44.5888,44.8069,45.7207,46.6781,47.6266,47.6166,48.5094,49.9237,50.997,52.2171,53.0529,53.962,54.8317,55.5813,56.4215,57.0883,57.8039,58.5008,59.1786,59.7644,60.1068,60.7887,61.3452,61.8065,62.1801,62.5694,62.1013,62.8819,63.6511,63.8177
Cabo Verde,CPV,63.8691,64.066,64.2529,64.4581,64.6485,63.6911,65.5207,66.0824,66.7144,67.4087,68.1167,68.7073,69.4471,70.0058,70.4988,70.9365,71.341,71.487,71.8877,72.1424,72.5066,72.9131,73.3148,73.4812,73.7885,74.0963,74.3504,74.7103,74.8397,75.4486,73.8177,74.4235,75.9068,76.0587,76.2238
Cambodia,KHM,55.205,55.582,55.7473,56.0364,56.2205,56.562,56.832,57.2661,57.8595,58.6108,59.4914,60.4566,61.3945,62.3452,63.2558,64.1128,64.8859,65.5491,66.1469,66.7473,67.3108,67.8691,68.3714,68.7548,69.1174,69.3977,69.6352,69.8424,69.9935,70.1267,70.0594,69.3012,70.528,70.6675,70.8171
Cameroon,CMR,54.3484,54.1677,54.0527,53.8723,53.5366,53.3471,53.2003,53.1048,53.0433,53.1663,53.3376,53.5983,53.9219,54.2528,54.5782,54.9042,55.3014,55.7101,56.1164,56.4855,56.9652,57.482,58.1696,58.7305,59.1301,59.6866,60.2934,60.8174,61.1888,61.6952,61.6738,61.1463,62.4428,63.6996,63.9681
Canada,CAN,77.4333,77.5939,77.8525,77.7251,77.9007,78.0206,78.272,78.4649,78.6741,78.8851,79.233,79.4494,79.5658,79.7363,80.029,80.131,80.5398,80.5422,80.7304,81.0648,81.3363,81.5133,81.7037,81.7852,81.8373,81.9084,82.0301,81.9195,81.9247,82.2848,81.6536,81.976,81.2493,82.6302,82.7192
Cayman Islands,CYM,72.7439,72.9112,73.0882,73.2499,73.42,73.5972,73.7403,73.9038,74.08,74.2318,74.3779,74.5295,74.6095,74.6388,74.5957,74.8632,75.0002,75.1518,75.3859,75.6706,76.0687,76.5618,77.1205,77.6516,77.8646,78.1191,78.3669,78.6149,78.8355,79.0516,79.2299,79.2996,79.9841,80.3576,80.5404
Central African Republic,CAF,49.8543,49.5748,49.2128,48.8994,48.5087,48.1087,47.6995,47.2836,47.0892,46.9095,46.6095,46.7338,46.8395,47.3059,47.6964,48.207,48.6867,49.3267,49.8728,14.6655,46.8707,50.107,51.3355,49.4871,40.2652,51.9338,50.9988,45.2315,52.2973,31.5302,50.5959,40.2791,18.8177,57.4077,57.6711
Chad,TCD,45.0738,46.5959,46.7769,47.0023,47.0796,47.4533,47.5508,47.7622,47.8024,47.9336,47.937,48.3056,48.3596,48.6095,48.6865,48.86,48.7467,49.2102,49.5034,49.8275,50.1067,50.4258,50.7651,51.0508,51.1411,51.3196,51.6027,51.8747,52.4467,52.9927,53.0818,53.1362,54.5275,55.0692,55.2383
Channel Islands,CHI,76.3,76.5,77.1,76.8,77.0,77.7,77.8,78.2,78.5,79.1,78.8,79.0,79.1,79.4,79.8,80.1,80.4,80.6,80.8,81.0,81.2,81.4,81.3,81.5,81.6,81.4,81.2,81.0,81.1,81.2,80.9,80.3,81.0,81.1,
Chile,CHL,73.6752,74.0824,74.3673,74.6793,74.973,75.2984,75.5548,75.8262,76.3241,76.7382,77.1276,77.5798,77.8397,77.8841,78.2765,78.4589,78.5328,78.6519,78.7518,78.8901,79.0954,79.2357,79.2211,79.5509,79.7137,80.0079,80.2949,80.6096,80.5594,80.3243,79.3488,78.8764,79.1762,81.1667,81.3589
