Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Puerto Rico,21.079393939393935,9.5,3.2,0.3,1.7,0.2,-0.2,2.1,2.6,2.8,4.4,2.2,1.5,1.0,1.4,1.9,3.3,1.9,0.1,0.7,3.1,0.6,0.2,1.4,2.5,5.6,5.2,4.2,5.2,0.3,2.5,2.9,1.3,1.1,0.6,-0.8,-0.3,1.8,1.3,0.1,-0.5,2.4,6.0,3.5,1.6,2.1,1.9,1.9,1.9,1.6,1.5
Qatar,6.8,8.5,5.7,2.7,1.1,1.1,1.9,4.5,4.8,3.3,3.0,4.5,2.9,-0.7,1.4,3.0,7.0,2.7,2.9,2.2,1.6,1.7,0.2,2.3,6.8,9.0,11.7,13.7,15.1,-4.9,-2.4,2.0,1.8,3.1,4.2,0.9,2.7,0.6,0.1,-0.9,-2.5,2.3,5.0,3.1,1.1,1.2,1.4,1.6,1.8,2.0,2.0
Rwanda,7.2,6.4,12.6,6.6,5.4,1.7,-1.1,4.1,2.9,1.0,4.2,19.6,9.5,12.5,21.0,56.0,13.2,11.8,6.5,-2.4,3.9,3.4,2.0,7.4,12.0,9.1,8.8,9.1,15.4,10.3,2.3,5.7,6.3,4.2,1.8,2.5,5.7,4.8,1.4,2.4,7.7,0.8,13.9,14.0,4.8,7.0,4.7,5.0,5.0,5.0,5.0
Saint Kitts and Nevis,19.3,8.6,6.0,2.2,2.7,2.7,0.0,0.9,0.2,5.1,4.2,4.2,2.8,1.8,1.4,3.0,2.0,8.7,3.7,3.4,2.1,2.1,2.1,2.3,2.2,3.4,8.5,4.5,5.3,2.1,0.9,5.8,0.8,1.1,0.2,-2.3,-0.7,0.7,-1.0,-0.3,-1.2,1.2,2.7,3.6,1.0,1.7,2.0,2.0,2.0,2.0,2.0
Saint Lucia,19.4,15.1,4.6,1.5,2.0,0.5,2.2,7.0,0.8,4.4,4.3,5.5,5.7,0.8,2.7,5.9,0.9,0.0,3.2,2.4,4.8,5.3,-0.3,1.0,1.5,3.9,3.6,2.8,5.5,-0.2,3.3,2.8,4.2,1.5,3.5,-1.0,-3.1,0.1,2.6,0.5,-1.8,2.4,6.4,4.1,-0.4,0.7,1.7,2.0,2.0,2.0,2.0
Saint Vincent and the Grenadines,17.2,17.5,7.2,5.5,2.7,2.1,1.2,2.9,0.3,2.6,7.2,5.9,3.8,4.3,0.4,2.4,4.4,0.5,2.1,1.0,0.2,1.9,0.7,0.1,2.9,3.4,3.0,7.0,10.1,0.4,0.8,3.2,2.6,0.8,0.2,-1.7,-0.2,2.2,2.3,0.9,-0.6,1.6,5.7,4.6,3.6,2.1,2.0,2.0,2.0,2.0,2.0
Samoa,33.0,20.5,18.3,16.5,11.9,9.1,2.7,11.2,3.2,12.3,8.5,-1.8,9.0,1.7,12.1,-2.9,5.4,6.9,5.4,0.4,-0.2,1.9,7.4,4.4,7.8,7.8,3.2,4.5,6.3,14.6,-0.2,2.9,6.2,-0.2,-1.2,1.9,0.1,1.3,3.7,2.2,1.5,-3.0,8.7,12.0,3.6,3.1,3.0,3.0,3.0,3.0,3.0
San Marino,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,17.645673076923078,9.766824644549764,11.788207547169813,11.91455399061033,8.814746543778803,5.870319634703196,1.3,1.4,1.7,2.1,2.5,4.1,2.4,2.4,2.2,2.8,1.6,1.1,0.1,0.6,1.0,1.2,0.5,-0.1,1.6,5.3,5.9,1.2,2.0,2.0,2.0,2.0,2.0,2.0
Saudi Arabia,4.4,3.6,1.9,0.6,-0.7,-2.3,-3.1,-2.4,-0.4,1.2,-1.1,3.9,-1.0,1.2,1.4,5.1,0.3,-0.2,-0.4,-2.1,-1.0,-1.1,0.1,0.5,0.3,0.6,1.9,5.0,6.1,4.3,3.7,3.7,2.9,3.5,2.2,1.2,2.1,-0.8,2.5,-2.1,3.4,3.1,2.5,2.3,1.7,2.0,2.0,2.0,2.0,2.0,2.0
Senegal,8.8,5.8,17.4,11.7,11.7,13.0,6.1,-4.1,-1.8,0.4,0.3,-1.8,0.0,-0.7,32.1,8.1,2.8,1.8,1.0,0.8,0.8,3.1,2.4,0.0,0.5,1.7,2.1,5.9,6.3,-2.2,1.2,3.4,1.4,0.7,-1.1,0.9,1.2,1.1,0.5,1.0,2.5,2.2,9.7,5.9,0.8,2.0,2.0,2.0,2.0,2.0,2.0
Serbia,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,17.645673076923078,30.0,41.1,70.0,80.7,8.9,2.9,10.6,16.3,10.7,6.0,12.4,8.1,6.1,11.1,7.3,7.7,2.1,1.4,1.1,3.1,2.0,1.8,1.6,4.1,12.0,12.4,4.7,4.0,3.3,3.3,3.0,3.0,3.0
Sierra Leone,12.9,23.4,26.9,68.5,66.6,76.6,80.9,178.7,34.3,60.8,110.9,102.7,65.5,22.2,24.2,26.0,23.1,14.6,36.0,34.1,-0.9,2.6,0.1,4.0,12.9,13.7,10.5,17.0,8.2,7.5,7.2,6.8,6.6,5.5,4.6,6.7,10.9,18.2,16.0,14.8,13.4,11.9,27.2,47.7,28.4,12.9,10.4,9.2,9.0,9.0,9.0
Singapore,8.5,8.2,3.9,1.0,2.6,0.5,-1.4,0.5,1.5,2.3,3.4,3.4,2.2,2.3,3.1,1.7,1.4,2.0,-0.3,0.0,1.3,1.0,-0.4,0.5,1.7,0.5,1.0,2.1,6.6,0.6,2.8,5.3,4.6,2.4,1.0,-0.5,-0.5,0.6,0.4,0.6,-0.2,2.3,6.1,4.8,2.4,1.3,1.5,2.0,2.0,2.0,2.0
Slovak Republic,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,13.5,9.9,5.8,6.0,6.7,10.5,12.2,7.1,3.5,8.4,7.5,2.8,4.3,1.9,3.9,0.9,0.7,4.1,3.7,1.5,-0.1,-0.3,-0.5,1.4,2.5,2.8,2.0,2.8,12.1,11.0,3.2,3.7,2.9,2.2,2.0,2.0,2.0
Slovenia,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,31.9,20.9,13.6,9.9,8.3,7.9,6.1,8.9,8.4,7.5,5.5,3.6,2.5,2.5,3.7,5.6,0.8,1.8,1.8,2.6,1.8,0.2,-0.5,-0.1,1.4,1.7,1.6,-0.1,1.9,8.8,7.4,2.0,2.6,2.3,2.2,2.1,2.1,2.1
Solomon Islands,8.2,13.1,13.0,7.0,10.9,9.4,13.1,11.5,16.8,14.9,8.7,15.0,10.8,9.2,13.3,9.6,11.8,8.1,12.4,8.0,6.9,7.6,9.4,10.1,6.9,7.5,11.2,7.7,17.3,7.2,0.9,7.4,5.9,5.2,5.3,-0.6,0.5,0.5,3.6,2.2,2.9,0.2,5.4,5.1,4.2,4.8,3.7,3.3,3.3,3.3,3.3
Somalia,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,17.645673076923078,9.766824644549764,11.788207547169813,11.91455399061033,8.814746543778803,5.870319634703196,6.15158371040724,5.864414414414414,5.710267857142858,5.967857142857143,5.539285714285714,10.488839285714286,4.597321428571428,4.338839285714285,6.260538116591928,5.484375,2.8,1.3,0.9,0.0,4.0,4.3,4.7,4.1,4.6,6.8,6.2,5.5,4.6,4.0,3.4,3.2,3.0,2.5
South Africa,14.2,15.9,14.0,12.7,11.3,16.5,18.2,16.4,12.6,14.8,14.4,15.1,14.0,9.6,8.9,8.8,7.4,8.6,7.0,5.1,5.3,5.7,9.1,5.9,1.4,3.4,4.7,7.1,10.9,7.2,4.2,5.0,5.7,5.7,6.1,4.6,6.3,5.3,4.6,4.1,3.3,4.6,6.9,5.9,4.4,3.8,4.5,4.5,4.5,4.5,4.5
Spain,15.6,14.5,14.4,12.2,11.3,8.8,8.8,5.2,4.8,6.8,6.7,5.9,7.1,4.6,4.7,4.7,3.6,1.9,1.8,2.2,3.5,2.8,3.6,3.1,3.1,3.4,3.6,2.8,4.1,-0.2,2.0,3.0,2.4,1.5,-0.2,-0.6,-0.3,2.0,1.7,0.8,-0.3,3.0,8.3,3.4,2.9,2.2,2.0,2.1,2.0,2.0,2.0
Sri Lanka,26.1,18.0,10.8,14.0,16.6,1.5,8.0,7.7,14.0,11.6,21.5,12.2,11.4,11.7,8.4,7.7,15.9,9.6,9.4,4.7,6.2,14.2,9.6,9.0,9.0,11.0,9.9,15.9,22.4,3.5,6.2,6.7,7.5,6.9,2.8,2.2,4.0,6.6,4.3,4.3,4.6,6.0,45.2,17.4,1.2,7.401357466063348,5.990497737556561,4.210045662100456,3.9575342465753427,3.788127853881279,3.7063926940639265
Suriname,14.2,8.7,7.1,4.4,3.7,10.9,18.7,53.4,7.3,0.8,21.8,10.5,21.3,79.3,142.8,24.2,2.8,6.1,11.2,60.5,29.6,34.4,15.5,23.0,9.1,14.0,11.3,6.4,14.7,-0.3,6.9,17.7,5.0,1.9,3.4,6.9,55.5,22.0,6.9,4.4,34.9,59.1,52.4,51.6,16.2,8.7,7.0,6.3,5.2,5.0,5.0
Sweden,17.5,12.1,8.6,8.9,8.0,7.4,4.2,4.2,5.8,6.4,10.5,8.8,1.4,4.7,2.9,2.5,1.0,1.8,1.0,0.6,1.3,2.7,1.9,2.3,1.0,0.8,1.5,1.7,3.3,1.9,1.9,1.4,0.9,0.4,0.2,0.7,1.1,1.9,2.0,1.7,0.7,2.7,8.1,5.9,2.0,2.1,2.0,2.0,2.0,2.0,2.0
Switzerland,4.0,6.5,5.7,3.0,2.9,3.4,0.7,1.4,1.9,3.2,5.4,5.9,4.0,3.3,0.9,1.8,0.8,0.5,0.0,0.8,1.6,1.0,0.6,0.6,0.8,1.2,1.1,0.7,2.4,-0.5,0.7,0.2,-0.7,-0.2,0.0,-1.1,-0.4,0.5,0.9,0.4,-0.7,0.6,2.8,2.1,1.1,0.2,0.5,0.7,0.7,0.7,0.7
Syria,19.3,18.4,14.3,6.0,9.5,16.8,36.2,71.4,30.0,15.4,11.1,9.0,11.1,13.2,15.3,7.7,8.9,1.9,-1.0,-3.7,-3.9,3.4,-0.5,5.8,4.4,7.2,10.4,4.7,15.2,2.8,4.4,6.260538116591928,5.484375,4.177333333333333,3.8066666666666666,4.065333333333334,6.183111111111113,7.219911504424778,294.01991150442484,93.18938053097347,17.676,15.172444444444443,13.263555555555556,14.595555555555556,12.123660714285714,7.401357466063348,5.990497737556561,4.210045662100456,3.9575342465753427,3.788127853881279,3.7063926940639265
Taiwan Province of China,19.0,10.9,3.0,1.4,0.0,-0.2,0.7,0.5,1.3,4.4,4.1,3.6,4.5,2.9,4.1,3.7,3.1,0.9,1.7,0.2,1.2,0.0,-0.2,-0.3,1.6,2.3,0.6,1.8,3.5,-0.9,1.0,1.4,1.9,0.8,1.2,-0.3,1.4,0.6,1.4,0.6,-0.2,2.0,2.9,2.5,2.2,1.8,1.6,1.6,1.5,1.6,1.5
Tanzania,30.2,25.7,28.9,27.1,36.1,33.3,32.4,29.9,31.2,25.8,36.4,25.2,20.7,26.1,37.9,26.8,21.0,16.1,12.8,7.9,6.0,5.1,4.6,4.4,4.1,4.4,7.3,7.0,10.3,12.1,7.2,12.7,16.0,7.9,6.1,5.6,5.2,5.3,3.5,3.4,3.3,3.7,4.4,3.8,3.2,4.0,4.0,4.0,4.0,4.0,4.0
Thailand,19.7,12.7,5.3,3.9,0.9,2.3,1.8,2.6,3.8,5.5,5.8,5.8,4.0,3.4,5.1,5.8,5.8,5.6,8.0,0.2,1.7,1.6,0.7,1.8,2.8,4.5,4.7,2.2,5.5,-0.9,3.3,3.8,3.0,2.2,1.9,-0.9,0.2,0.7,1.1,0.7,-0.8,1.2,6.1,1.2,0.4,0.7,0.9,1.3,1.6,1.7,1.7
Timor-Leste,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,17.645673076923078,9.766824644549764,11.788207547169813,11.91455399061033,3.6,4.1,8.0,2.2,1.6,5.2,8.6,7.4,-0.2,5.2,13.2,10.9,9.5,0.8,0.6,-1.5,0.5,2.3,0.9,0.5,3.8,7.0,8.4,2.1,0.4,1.7,2.0,2.0,2.0,2.0
Togo,12.3,19.7,11.1,9.4,-3.5,-1.8,4.1,0.1,-0.2,-1.0,1.1,0.2,1.6,-0.1,35.3,15.8,4.6,5.3,1.0,-0.1,1.6,5.1,2.7,-0.9,0.7,5.3,1.1,0.4,7.7,4.1,0.2,3.6,2.6,1.8,0.2,1.8,0.9,-0.2,0.9,0.7,1.8,4.5,7.6,5.3,3.3,2.3,2.0,2.0,2.0,2.0,2.0
Tonga,-7.3,14.9,10.9,9.7,7.9,5.2,29.9,7.7,10.3,4.0,5.6,13.9,8.6,1.8,3.9,-0.5,2.7,0.6,2.9,3.9,4.9,7.3,10.0,10.7,11.8,10.0,7.2,5.0,9.6,5.5,1.7,6.0,3.3,0.7,2.3,0.1,-0.6,7.2,6.8,3.3,0.4,1.4,8.5,10.2,4.7,3.6,2.1,2.7,2.9,3.0,3.0
Trinidad and Tobago,17.5,14.3,11.6,15.2,13.3,7.6,7.7,10.8,7.8,11.4,11.1,3.8,6.5,10.8,8.8,5.3,3.3,3.7,5.6,3.4,3.5,5.6,4.1,3.8,3.8,6.9,8.3,7.9,12.0,7.0,10.5,5.1,9.3,5.2,5.7,4.7,3.1,1.9,1.0,1.0,0.6,2.1,5.8,4.6,0.5,1.3,2.0,1.9,1.8,1.8,1.8
Tunisia,10.0,8.9,13.7,9.0,8.6,7.6,6.2,8.2,7.2,7.7,6.5,7.7,5.5,4.0,5.4,6.2,3.7,3.6,3.1,2.8,2.8,1.9,2.7,2.7,3.7,2.0,4.1,3.4,4.9,3.5,4.4,3.2,4.6,5.3,4.6,4.4,3.6,5.3,7.3,6.7,5.6,5.7,8.3,9.3,7.0,6.1,6.5,7.4,7.7,8.5,9.3
Tuvalu,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,17.645673076923078,9.766824644549764,11.788207547169813,11.91455399061033,1.5,5.1,2.9,2.4,3.2,4.2,2.3,10.4,-0.3,-1.9,0.5,1.4,2.0,1.1,3.1,3.5,4.1,2.2,3.5,1.6,6.7,12.2,7.2,1.2,1.5,2.0,2.5,2.5,2.5,2.5
United Arab Emirates,10.1,7.9,7.1,1.3,2.4,3.5,5.4,5.5,5.0,2.8,0.6,3.4,6.4,5.3,5.7,4.3,3.0,3.0,2.0,2.1,1.3,2.8,2.9,3.1,5.0,6.2,9.3,11.1,12.3,-4.7,0.9,0.9,0.7,1.1,2.3,4.1,1.6,2.0,3.1,-1.9,-2.1,-0.1,4.8,1.6,1.7,2.1,2.0,2.0,2.0,2.0,2.0
United Kingdom,16.8,12.2,8.5,5.2,4.4,5.2,3.6,4.1,4.6,5.2,7.0,7.5,4.2,2.5,2.0,2.6,2.4,1.8,1.6,1.3,0.8,1.2,1.3,1.4,1.3,2.1,2.3,2.3,3.6,2.2,3.3,4.5,2.8,2.6,1.5,0.0,0.7,2.7,2.5,1.8,0.9,2.6,9.1,7.3,2.5,3.1,2.2,2.0,2.0,2.0,2.0
United States,13.5,10.4,6.2,3.2,4.4,3.5,1.9,3.6,4.1,4.8,5.4,4.2,3.0,3.0,2.6,2.8,2.9,2.3,1.5,2.2,3.4,2.8,1.6,2.3,2.7,3.4,3.2,2.9,3.8,-0.3,1.6,3.1,2.1,1.5,1.6,0.1,1.3,2.1,2.4,1.8,1.3,4.7,8.0,4.1,3.0,3.0,2.5,2.1,2.2,2.2,2.2
Uruguay,63.5,34.0,19.0,49.2,55.3,72.2,76.4,63.6,62.2,80.4,112.5,102.0,68.5,54.1,44.7,42.2,28.3,19.8,10.8,5.7,4.8,4.4,14.0,19.4,9.2,4.7,6.4,8.1,7.9,7.1,6.7,8.1,8.1,8.6,8.9,8.7,9.6,6.2,7.6,7.9,9.8,7.7,9.1,5.9,4.8,5.5,5.3,4.7,4.6,4.5,4.5
Uzbekistan,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,645.1,534.2,1568.3,304.6,54.0,70.9,29.0,29.1,25.0,27.3,27.3,12.5,7.3,10.7,13.1,11.2,13.1,12.3,12.3,12.4,11.9,11.7,9.1,8.5,8.8,13.9,17.5,14.5,12.9,10.8,11.4,10.0,9.6,8.8,7.2,5.8,5.0,5.0,5.0
Vanuatu,11.2,26.8,6.7,1.7,5.5,1.1,4.8,16.0,8.8,7.7,4.8,6.5,4.1,3.6,2.3,2.2,0.9,2.8,3.6,2.0,2.5,3.6,2.0,3.0,1.4,1.2,2.0,3.9,4.8,4.3,2.8,0.9,1.3,1.5,0.8,2.5,0.8,3.1,2.4,2.7,5.3,2.3,6.7,11.2,4.2,4.5,3.4,2.7,2.2,2.2,2.2
West Bank and Gaza,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,7.6,5.6,5.5,2.8,1.2,5.7,4.4,3.0,5.3,3.8,1.9,9.9,2.8,3.8,2.9,2.8,1.7,1.7,1.4,-0.2,0.2,-0.2,1.6,-0.7,1.2,3.7,5.9,52.9,7.401357466063348,5.990497737556561,4.210045662100456,3.9575342465753427,3.788127853881279,3.7063926940639265
Yemen,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,44.9,51.2,61.7,71.3,63.9,38.8,4.6,11.5,7.9,11.0,11.9,12.2,10.8,12.5,9.9,10.8,7.9,19.0,3.7,11.2,19.5,9.9,11.0,8.2,22.0,21.3,30.4,33.6,15.7,21.7,31.5,29.5,0.9,33.9,20.4,18.5,11.3,12.2,10.5,10.0
Zambia,11.7,14.0,12.5,19.7,20.0,37.4,48.0,43.0,45.8,113.2,93.9,85.3,146.7,158.4,46.1,31.5,38.6,21.4,22.7,23.9,24.1,21.4,22.2,21.4,18.0,18.3,9.0,10.7,12.4,13.4,8.5,8.7,6.6,7.0,7.8,10.1,17.9,6.6,7.5,9.2,15.7,22.0,11.0,10.9,15.0,14.2,9.2,7.4,7.0,7.0,7.0
Africa (Region),16.9,15.9,14.8,16.2,14.0,13.9,17.5,17.0,14.9,17.2,14.9,29.8,35.3,31.4,39.8,31.4,29.5,13.6,8.3,10.0,10.8,9.0,7.6,8.0,7.9,7.7,5.9,6.4,11.3,9.6,7.8,9.1,9.0,6.7,7.0,7.2,9.6,12.6,11.4,9.4,11.1,12.3,14.2,18.2,20.1,13.8,11.8,8.4,7.4,6.4,6.0
Asia and Pacific,16.3,10.5,7.5,7.1,7.7,7.6,7.7,7.9,11.2,9.7,8.7,9.8,9.1,15.4,17.5,12.4,8.8,7.2,9.8,4.6,3.7,4.1,3.5,3.2,3.4,3.3,3.9,4.4,6.7,2.6,4.2,5.3,4.1,4.0,3.6,2.6,2.6,2.7,3.1,3.4,3.2,3.0,6.3,4.8,4.3,3.1,2.9,3.0,3.1,3.1,3.2
Australia and New Zealand,11.3,10.4,12.1,9.6,4.3,8.1,9.7,9.7,7.1,7.3,7.1,3.2,1.0,1.7,1.9,4.5,2.6,0.4,0.9,1.2,4.2,4.1,3.0,2.6,2.3,2.7,3.5,2.4,4.3,1.8,2.8,3.4,1.6,2.3,2.3,1.3,1.2,2.0,1.9,1.6,1.0,3.0,6.7,5.6,3.2,2.5,3.3,2.6,2.5,2.5,2.4
Caribbean,17.2,12.0,8.7,11.2,13.0,12.9,9.7,5.4,7.1,11.4,17.8,21.6,26.0,17.0,25.7,15.1,12.5,6.7,5.6,6.0,6.2,8.5,5.2,9.7,9.8,9.4,8.2,6.9,12.5,5.1,6.9,6.1,5.9,4.4,4.1,3.5,6.7,5.4,4.4,5.3,8.1,8.8,12.8,13.0,6.3,6.3,5.9,5.3,5.0,4.7,4.4
Central America,17.3,14.1,15.7,11.6,16.6,37.9,38.0,61.3,51.8,54.2,58.3,31.3,10.0,9.8,10.2,12.2,10.2,8.7,6.5,5.9,6.7,7.0,5.7,9.6,15.3,7.3,6.7,6.6,11.1,3.0,4.6,6.5,4.3,4.4,3.5,1.3,1.9,2.7,2.8,2.1,2.1,4.6,7.3,4.2,2.3,2.9,3.4,3.4,3.4,3.4,3.4
East Asia,9.6,5.7,3.1,2.2,2.4,3.6,2.2,2.2,5.7,6.6,3.8,4.2,3.8,5.9,8.8,6.2,3.7,2.4,0.8,-0.7,0.1,0.4,-0.5,0.7,2.3,1.2,1.1,3.0,4.4,-0.5,2.2,3.8,2.0,2.0,2.1,1.2,1.5,1.4,1.8,2.3,1.8,0.9,2.3,1.0,0.8,0.5,0.9,1.5,1.8,1.9,2.0
Eastern Europe,5.9,9.5,38.9,11.1,25.3,7.0,8.0,11.3,24.4,72.1,190.9,107.0,867.9,693.7,244.3,139.3,39.6,27.2,22.4,46.0,20.5,17.2,10.7,9.1,8.6,9.2,7.2,7.4,12.0,8.5,5.5,7.6,5.2,4.6,5.3,10.4,4.4,3.7,3.3,3.9,3.0,6.0,14.2,8.3,6.3,7.1,4.6,3.6,3.5,3.4,3.4
Europe,12.1,11.9,12.7,8.5,8.4,5.9,3.9,3.9,5.2,9.6,13.5,10.3,80.2,67.6,33.7,22.6,9.6,6.8,5.4,9.5,5.8,5.4,4.0,3.6,3.5,3.8,3.4,3.5,5.6,2.7,2.8,4.1,3.2,2.4,1.9,2.9,1.5,2.2,2.2,2.0,1.2,3.6,10.0,6.3,3.6,3.7,2.8,2.5,2.5,2.4,2.5
Middle East (Region),17.3,13.7,12.5,12.3,13.8,12.7,13.9,22.9,15.0,9.7,5.5,11.7,11.6,10.7,13.9,18.1,9.7,6.1,6.1,5.6,3.5,3.8,5.9,5.9,6.0,6.7,9.2,10.8,12.9,3.7,5.4,9.3,9.3,9.7,5.2,3.8,3.0,2.6,7.5,5.8,9.9,11.7,13.4,11.8,9.3,10.9,10.4,8.7,7.7,6.9,6.9
North Africa,14.2,12.4,11.6,11.1,12.0,10.4,15.2,13.0,8.9,12.1,12.3,16.0,19.3,11.9,13.4,13.9,9.0,5.0,4.5,2.9,1.5,1.5,1.0,2.8,5.3,4.8,3.4,7.0,8.5,9.5,7.2,7.7,7.3,5.0,6.2,7.7,8.3,14.8,13.2,8.2,4.4,4.8,8.3,17.5,20.3,12.8,8.8,7.3,5.3,4.6,4.5
North America,14.7,12.7,12.3,12.1,10.2,8.7,9.0,13.0,12.2,6.3,7.5,6.2,4.2,3.6,2.9,5.7,5.8,4.1,3.0,3.6,4.0,3.2,2.0,2.6,2.8,3.4,3.2,2.9,3.9,0.3,1.9,3.1,2.2,1.7,1.9,0.5,1.4,2.5,2.7,2.0,1.4,4.7,7.9,4.2,3.1,3.0,2.5,2.2,2.2,2.2,2.2
Pacific Islands,13.1,10.1,6.8,7.6,6.9,4.3,4.9,4.8,7.8,5.7,7.4,7.0,4.9,5.0,2.8,11.0,8.4,3.9,10.5,9.5,9.5,7.2,7.6,10.5,2.8,2.4,2.8,2.5,9.8,6.2,4.3,5.2,4.2,4.1,3.7,4.3,5.4,4.6,4.3,3.2,3.0,3.2,5.2,2.9,1.8,4.9,4.1,4.1,4.2,4.1,4.1
South Asia,11.5,12.9,8.1,11.5,7.1,6.3,8.2,8.5,8.0,5.7,11.0,12.9,8.9,7.5,9.9,10.2,9.6,7.3,11.6,4.3,3.8,4.5,4.7,4.1,4.5,4.8,7.0,6.5,10.0,11.2,9.2,8.8,10.0,8.9,6.2,4.9,4.5,3.9,3.7,5.0,6.5,5.8,7.7,7.7,6.4,4.7,4.5,4.3,4.3,4.3,4.3
Southeast Asia,17.7,15.6,13.1,10.3,16.6,12.3,18.4,17.9,19.4,11.7,9.4,13.6,8.5,7.0,7.4,7.7,6.4,5.1,25.1,9.5,2.6,4.8,5.7,4.5,4.6,6.8,7.9,5.2,9.8,3.0,4.5,6.1,3.9,4.4,4.2,2.9,2.2,2.9,2.8,2.2,1.3,2.2,5.3,4.1,2.9,2.5,2.6,2.6,2.6,2.6,2.6
Sub-Saharan Africa (Region),21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,42.1,49.8,49.4,65.6,46.9,44.4,19.4,10.8,14.7,17.2,14.1,11.8,11.4,9.6,9.5,7.5,6.0,13.0,9.8,8.2,9.9,9.9,7.6,7.4,6.9,10.2,11.4,10.3,10.1,15.2,16.9,17.8,18.6,20.0,14.4,13.6,9.0,8.6,7.5,6.8
Western Europe,12.8,12.1,10.4,8.2,6.9,5.8,3.5,3.2,3.6,5.1,4.7,5.2,4.5,3.7,2.9,2.8,2.4,1.7,1.3,1.2,2.0,2.2,2.1,2.0,1.9,2.1,2.2,2.1,3.3,0.6,1.8,2.8,2.4,1.5,0.6,0.2,0.4,1.7,1.8,1.3,0.3,2.5,8.2,5.5,2.3,2.1,1.9,2.0,2.0,2.0,2.0
Western Hemisphere (Region),22.9,21.2,20.9,23.0,24.2,26.1,21.5,29.4,41.9,48.8,59.6,29.0,33.5,42.1,42.5,11.6,7.4,5.0,3.6,4.1,4.7,3.8,2.8,4.0,3.5,3.8,3.4,3.2,4.5,1.0,2.4,3.7,2.8,2.3,2.6,1.6,2.4,3.4,3.7,3.5,2.7,6.2,9.8,7.2,6.9,4.2,3.2,2.7,2.6,2.6,2.6
ASEAN-5,16.6,12.0,7.8,7.3,14.0,6.8,2.9,5.3,6.5,6.3,7.3,9.0,6.2,6.6,7.2,7.0,6.5,5.3,29.2,9.9,3.1,6.2,5.8,3.8,4.1,6.7,7.9,4.0,7.8,2.6,3.9,4.6,3.4,4.1,4.2,3.0,2.0,2.8,2.6,1.9,0.9,2.0,4.8,3.5,2.0,1.7,2.2,2.3,2.3,2.3,2.4
