Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Eswatini,18.2,20.1,10.8,11.6,12.9,20.5,13.7,13.4,20.4,7.5,13.1,8.9,7.6,12.0,13.8,12.3,6.4,7.9,7.5,5.9,9.9,7.5,11.9,7.3,3.5,4.9,5.2,8.1,12.7,7.4,4.5,6.1,8.9,5.6,5.7,5.0,7.8,6.2,4.8,2.6,3.9,3.7,4.8,4.9,4.0,5.2,4.8,4.4,4.2,4.2,4.2
Fiji,14.5,11.2,7.0,6.8,5.3,4.4,1.8,5.7,11.8,6.2,8.2,6.5,4.9,5.2,0.8,2.2,3.0,3.4,5.7,2.0,1.1,4.3,0.7,4.2,2.8,2.3,2.5,4.8,7.7,3.7,3.7,7.3,3.4,2.9,0.5,1.4,3.9,3.3,4.1,1.8,-2.6,0.2,4.3,2.3,4.5,3.2,3.1,3.2,3.3,3.4,3.5
Finland,11.6,12.0,9.3,8.4,7.0,5.8,2.9,4.1,5.1,6.6,5.0,4.5,3.3,3.3,1.6,0.4,1.1,1.2,1.3,1.3,3.0,2.7,2.0,1.3,0.1,0.8,1.3,1.6,3.9,1.6,1.7,3.3,3.2,2.2,1.2,-0.2,0.4,0.8,1.2,1.1,0.4,2.1,7.2,4.3,1.0,2.0,2.0,2.0,2.0,2.0,2.0
France,13.1,13.3,12.0,9.5,7.7,5.8,2.5,3.3,2.7,6.6,0.3,3.4,2.5,2.2,1.7,1.8,2.1,1.3,0.7,0.6,1.8,1.8,1.9,2.2,2.3,1.9,1.9,1.6,3.2,0.1,1.7,2.3,2.2,1.0,0.6,0.1,0.3,1.2,2.1,1.3,0.5,2.1,5.9,5.7,2.3,1.3,1.6,1.9,1.9,1.9,1.9
Gabon,12.3,8.6,16.7,10.4,5.9,7.3,6.4,-1.0,-9.8,6.9,15.4,-9.8,-9.5,0.5,36.1,9.6,0.7,4.0,1.4,-1.9,0.5,2.1,0.2,2.1,0.4,1.2,-1.4,5.0,5.3,1.9,1.4,1.3,2.7,0.5,4.5,-0.1,2.1,2.7,4.8,2.0,1.7,1.1,4.3,3.6,1.2,1.5,2.0,2.0,1.9,2.0,2.0
"Gambia, The",5.0,7.9,8.2,10.6,22.1,18.3,56.6,23.7,11.5,8.3,12.2,8.6,9.5,6.5,1.7,7.0,1.1,2.8,1.1,3.8,0.9,4.5,8.6,17.0,14.3,5.0,2.1,5.4,4.5,4.6,5.0,4.8,4.6,5.2,6.3,6.8,7.2,8.0,6.5,7.1,5.9,7.4,11.5,17.0,11.6,9.3,6.7,5.0,5.0,5.0,5.0
Georgia,21.079393939393935,17.254705882352944,16.787134502923973,18.41578947368421,25.305263157894736,89.90526315789474,23.69707602339181,97.30173410404625,53.413294797687854,90.2705202312139,99.45170454545455,39.651648351648355,80.46540540540539,169.25959595959594,236.1765,51.067661691542284,43.29368932038836,7.2,3.6,19.1,4.0,4.7,5.6,4.8,5.7,8.2,9.2,9.2,10.0,1.7,7.1,8.5,-0.9,-0.5,3.1,4.0,2.1,6.0,2.6,4.9,5.2,9.6,11.9,2.5,1.1,3.6,3.2,3.0,3.0,3.0,3.0
Germany,5.4,6.3,5.3,3.3,2.4,2.1,-0.1,0.2,1.3,2.8,2.7,3.5,5.0,4.5,2.7,1.7,1.3,1.5,0.6,0.6,1.4,1.9,1.3,1.1,1.8,1.9,1.8,2.3,2.8,0.2,1.1,2.5,2.2,1.6,0.8,0.7,0.4,1.7,1.9,1.4,0.4,3.2,8.7,6.0,2.5,2.1,1.9,2.1,2.2,2.2,2.2
Greece,24.9,24.5,21.1,20.2,18.5,19.3,23.0,16.4,13.5,13.7,20.4,19.5,15.9,14.4,10.9,8.8,7.9,5.4,4.5,2.1,2.9,3.6,3.9,3.4,3.0,3.5,3.3,3.0,4.2,1.3,4.7,3.1,1.0,-0.9,-1.4,-1.1,0.0,1.1,0.8,0.5,-1.3,0.6,9.3,4.2,3.0,2.4,2.1,2.0,2.0,2.0,2.0
Grenada,21.8,18.8,7.8,6.1,5.7,2.5,0.6,-0.9,4.0,5.6,2.7,2.6,3.8,2.8,6.4,3.0,2.0,1.2,1.4,0.6,2.1,1.7,1.1,2.2,2.3,3.5,4.3,3.9,8.0,-0.3,3.4,3.0,2.4,0.0,-1.0,-0.5,1.6,0.9,0.8,0.6,-0.7,1.2,2.6,2.7,1.4,1.3,2.0,2.0,2.0,2.0,2.0
